,id,intent,answer,question,email
0,6342db6d3d103704ca39def3,38,"     :
للحصول على اسم المستخدم وكلمة المرور يرجى التواصل مع قسم الدعم التقني
عبر الايميل التالي:
support@svuonline.com <mailto:support@svuonline.com> 
وللحصول على كشف علامات بامكانك التقديم عبر موقع الجامعة من خلال نظام
الطلبات الالكتروني 
     ", كيف فيني احصل على كشف العلامات علما اني نسيان تماما اسم المستخدم وكلمة المرور.,"          . 
  اسمي طلال يحيى و  عملت دبلوم تأهيل تربوي بالجامعة الافتراضية
وخلصتو عام 2010 وهلق   بحاجة إلى كشف علامات ضروري جدا ، كيف فيني احصل
على كشف العلامات علما اني نسيان تماما اسم المستخدم وكلمة المرور.
بتمنى منكم تساعدوني و    ،   .
Talal Yahia
+46 764353434        "
1,6342db6d3d103704ca39def3,38,"     :
للحصول على اسم المستخدم وكلمة المرور يرجى التواصل مع قسم الدعم التقني
عبر الايميل التالي:
support@svuonline.com <mailto:support@svuonline.com> 
وللحصول على كشف علامات بامكانك التقديم عبر موقع الجامعة من خلال نظام
الطلبات الالكتروني 
     ", بتمنى منكم تساعدوني و    ,"          . 
  اسمي طلال يحيى و  عملت دبلوم تأهيل تربوي بالجامعة الافتراضية
وخلصتو عام 2010 وهلق   بحاجة إلى كشف علامات ضروري جدا ، كيف فيني احصل
على كشف العلامات علما اني نسيان تماما اسم المستخدم وكلمة المرور.
بتمنى منكم تساعدوني و    ،   .
Talal Yahia
+46 764353434        "
2,6342db6d3d103704ca39def4,19,"     حاليا لا يوجد مراكز للجامعة في أوروبا.. 
من الممكن مستقبلا أن يتم فتح مراكز في احدى الدول الأوروبية
      ", أود أن أستعلم منكم في رسالتي هذه عن إمكانية التقديم للجامعة الافتراضية من القارة الأوربية إن كان ذلك ممكنا ؟,"          ، فريق   الكرام.
أنا اسمي أحمد السليم مواليد دمشق عام ٩٦.
وأنا الأن مقيم في إحدى الدول الأوربية . 
أود أن أستعلم منكم في رسالتي هذه عن إمكانية التقديم للجامعة الافتراضية
من القارة الأوربية إن كان ذلك ممكنا ؟
فإني قد رأيت في الصفحة الرئيسية للجامعة الإفتراضية معلومات فقط عن
إمكانية الدراسة للغير مقيمين داخل القطر في بعض الدول العربية و تركيا. 
سوف يسرني جدا تلقي جواب لسؤالي هذا. 
و  مسبقا.
أحمد السليم
ألمانيا ، فرايبورغ ٧٨٠٥٦        "
3,6342db6d3d103704ca39def5,12,"      :
حاليا يجب تسليم الأوراق المطلوبة بأحد مراكز الجامعة في دمشق
وبحال عدم وجودك داخل سورية يمكن لأي شخص أن يقوم بالتسجيل.. الأوراق
المطلوبة للتسجيل موجودة ضمن الاعلان على موقع الجامعة 
ويرجى متابعة موقع الجامعة باستمرار لمعرفة مواعيد اختيار المواد والدفع 
www.svuonline.org <http:  www.svuonline.org>      ", بقدر سجل عن طريق الانترنت وشو الاوراق المطلوبة وايمت ببلش تنزيل المواد؟,"     موجودة خارج سوريا انقبلت بالمفاضلة اعلام اذاعة وتلفزيون بقدر سجل عن
طريق الانترنت وشو الاوراق المطلوبة وايمت ببلش تنزيل المواد؟؟ بتقدر اختي
بسوريا تسجلي    "
4,6342db6d3d103704ca39def6,3,"         :
بامكانك التقدم على المفاضلة الخاصة ب  التي
ستصدر بالشهر التاسع او العاشر..
المفاضلة تصدر عبر موقع الجامعة والتقدم للمفاضلة يتم أيضا عبر الموقع.
بحال كنت ترغب بمتابعة دراستك في BMC يجب أن تقوم بالتسجيل على شهادة
الثانوية و   أن يتم قبولك يمكنك إحضار كشف علامات وتوصيف مواد وذلك
لتعديل بعض المواد التي يمكن تعديلها.
وشروط التقدم للمفاضلة على برنامج BMC أن يكون معدلك بالشهادة الثانوية
( علمي – أدبي – شرعية ) 50% وما فوق
         ", فهل هناك إمكانية لمتابعة الدراسة عبر جامعتكم؟,"           السادة في  ،
تحية عطرة و ،
أنا الطالب منير الريس، وصلت إلى السنة الرابعة في كلية الإعلام   التعليم
المفتوح في سوريا، ومنذ عام 2012 اضطررت للتوقف عن متابعة دراستي بسبب سفري
خارج البلاد وصعوبة العودة في موعد الامتح ت السنوية للمتابعة.
بحثت في الانترنت عن إمكانية متابعة دراستي في  
ولكنني وجدت معلومات متضاربة حول إمكانية ذلك، فهل هناك إمكانية لمتابعة
الدراسة عبر جامعتكم؟ وما هي الشروط الواجبة لذلك؟
علماً أني مستعد لتقديم كافة الأوراق والوثائق المطلوبة للتسجيل في موعدها.
  والتقدير.
منير الريس           "
5,6342db6d3d103704ca39def6,3,"         :
بامكانك التقدم على المفاضلة الخاصة ب  التي
ستصدر بالشهر التاسع او العاشر..
المفاضلة تصدر عبر موقع الجامعة والتقدم للمفاضلة يتم أيضا عبر الموقع.
بحال كنت ترغب بمتابعة دراستك في BMC يجب أن تقوم بالتسجيل على شهادة
الثانوية و   أن يتم قبولك يمكنك إحضار كشف علامات وتوصيف مواد وذلك
لتعديل بعض المواد التي يمكن تعديلها.
وشروط التقدم للمفاضلة على برنامج BMC أن يكون معدلك بالشهادة الثانوية
( علمي – أدبي – شرعية ) 50% وما فوق
         ", وما هي الشروط الواجبة لذلك؟,"           السادة في  ،
تحية عطرة و ،
أنا الطالب منير الريس، وصلت إلى السنة الرابعة في كلية الإعلام   التعليم
المفتوح في سوريا، ومنذ عام 2012 اضطررت للتوقف عن متابعة دراستي بسبب سفري
خارج البلاد وصعوبة العودة في موعد الامتح ت السنوية للمتابعة.
بحثت في الانترنت عن إمكانية متابعة دراستي في  
ولكنني وجدت معلومات متضاربة حول إمكانية ذلك، فهل هناك إمكانية لمتابعة
الدراسة عبر جامعتكم؟ وما هي الشروط الواجبة لذلك؟
علماً أني مستعد لتقديم كافة الأوراق والوثائق المطلوبة للتسجيل في موعدها.
  والتقدير.
منير الريس           "
6,6342db6d3d103704ca39def7,49,"    :
يرجى التواصل مع منسق البرنامج الخاص بك لمعرفة التفاصيل المطلوبة
    ", هل يمكن التسجيل و من قم استرداد المبلغ في حال الرغبة بالالغاء ؟,"     
		  الطالبة سلام تسابحجي تحت الرقم التعريي salam_92036
ظهرت نتائج المقابلة و اسمي مقبول ، كيف يمكن ايقاف هذا الفصل ؟ و كم مدة
الايقاف المسموحة ؟ 
هل يمكن التسجيل و من قم استرداد المبلغ في حال الرغبة بالالغاء ؟ 
لكم منا جزيل الشكر    "
7,6342db6d3d103704ca39def7,49,"    :
يرجى التواصل مع منسق البرنامج الخاص بك لمعرفة التفاصيل المطلوبة
    ", كيف يمكن ايقاف هذا الفصل ؟,"     
		  الطالبة سلام تسابحجي تحت الرقم التعريي salam_92036
ظهرت نتائج المقابلة و اسمي مقبول ، كيف يمكن ايقاف هذا الفصل ؟ و كم مدة
الايقاف المسموحة ؟ 
هل يمكن التسجيل و من قم استرداد المبلغ في حال الرغبة بالالغاء ؟ 
لكم منا جزيل الشكر    "
8,6342db6d3d103704ca39def7,49,"    :
يرجى التواصل مع منسق البرنامج الخاص بك لمعرفة التفاصيل المطلوبة
    ", كم مدة الايقاف المسموحة ؟,"     
		  الطالبة سلام تسابحجي تحت الرقم التعريي salam_92036
ظهرت نتائج المقابلة و اسمي مقبول ، كيف يمكن ايقاف هذا الفصل ؟ و كم مدة
الايقاف المسموحة ؟ 
هل يمكن التسجيل و من قم استرداد المبلغ في حال الرغبة بالالغاء ؟ 
لكم منا جزيل الشكر    "
9,6342db6d3d103704ca39def8,48,"     :
يرجى حساب معادلتك النهائية وبحال كانت النتيجة 60% وما فوق فأنت مقبولة في
ماجستير MWS.
ومن ثم يجب التواصل مع منسق برنامج ماجستير MWS لمتابعة طلبك
     ", بتمنى تدققوا ببي تي واكون مقبولة بالماجستير  ا,"     بتاريخ 1 يونيو، 2017 6:50 م، جاء من Diana Kassar
<dianakassar2016@gmail.com>:
   
  قدمت على ماجستير mws ومانزل اسمي مع المقبولين
كانت صورتي الشخصية وصورة هويتي غير واضحة
رجعت عدلتون
  معدلي 74.84 
وعلامتي بالامتحان 60
بتمنى تدققوا ببي تي واكون مقبولة بالماجستير
 اً      "
