,id,intent,answer,question,email
0,634a8edbcdf19929c5b9b94b,34,"         
بامكانك التقدم على المفاضلة الخاصة السورية التي
ستصدر بالشهر التاسع او العاشر..
المفاضلة تصدر عبر موقع الجامعة والتقدم للمفاضلة يتم أيضا عبر الموقع في حال كنت ترغب بمتابعة دراستك في BMC يجب أن تقوم بالتسجيل على شهادة
الثانوية وبعد أن يتم قبولك يمكنك إحضار كشف علامات وتوصيف مواد وذلك
لتعديل بعض المواد التي يمكن تعديلها.
وشروط التقدم للمفاضلة على برنامج BMC أن يكون معدلك بالشهادة الثانوية
( علمي – أدبي – شرعية ) 50% وما فوق         ",,"         السورية،
تحية عطرة وبعد،
أنا الطالب منير الريس، وصلت إلى السنة الرابعة في كلية الإعلام التعليم
المفتوح في سوريا، ومنذ عام 2012 اضطررت للتوقف عن متابعة دراستي بسبب سفري
خارج البلاد وصعوبة العودة في موعد الامتحانات السنوية للمتابعة.
بحثت في الانترنت عن إمكانية متابعة دراستي في ولكنني وجدت معلومات متضاربة حول إمكانية ذلك، فهل هناك إمكانية لمتابعة
الدراسة عبر جامعتكم؟ وما هي الشروط الواجبة لذلك؟
علماً أني مستعد لتقديم كافة الأوراق والوثائق المطلوبة للتسجيل في موعدها. و التقدير منير الريس           "
1,634a8edbcdf19929c5b9b954,2,"    يرجى إرسال ايميل إلى منسق البرنامج من خلال العناوين الموجودة على الموقع ضمن
اتصل بنا ومن ثم الاتصال بالجامعة    ",," سجلت بالمفاضله ترقيه معهد تقاني احصائي اقتصاد 
ولم يظهر اسمي بين المقبولين معدلي 74.14 
الاسم اسراء نادر التلا 
والاوراق كامله  "
2,634a8edbcdf19929c5b9b95d,2,"  قد يوجد نقص بالأوراق.. يرجى التواصل مع منسق البرنامج الذي قمت بالتسجيل
عليه 
جميع العناوين موجودة على الموقع ضمن اتصل بنا ومن ثم الاتصال بالجامعة   ",," انا خريج معهد التقاني لأدارة الاعمال فاضلت و مالقيت اسمي بين المقبولين
وفي معدلات اقل مني انقبلت رقمي 97089 "
3,634a8edccdf19929c5b9b960,2,"   قد يوجد نقص بالأوراق.. يرجى التواصل عن طريق الايميل مع منسق البرنامج ال MBA لمعرفة التفاصيل
جميع العناوين موجودة على الموقع ضمن اتصل بنا ومن ثم الاتصال بالجامعة   ",,مهند مصطفى الجريجب رقمي الوطني 11010106109
4,634a8edccdf19929c5b9b962,1," يرجى متابعة حسابك بشكل دوري.. عندما تظهر كلمة register هذا يعني أنك قمت
بالتسجيل بشكل صحيح..  ",," نظرا لعدم وجود اسمي في قوائم المقبولين في نتائج المفاضلة راجعت حسابي
ليتبين طلب رفع الهوية بشكل واضح على الجهتين , لذلك قمت برفع صورة الهوية
بشكل واضح على الجهتين من صفحة update student registration بدلا من edit
profile المعطلة , إضافة إلى رفع صورة وثيقة التخرج بدلا عن بيان الوضع
فراس غياث خرفان
97707 "
5,634a8edccdf19929c5b9b964,7,"  القبول يتم إحضار كشف علامات وتوصيف مواد وبحال وجود مواد متشابهة يتم
تعديلها بحسب المعايير التي تعتمدها الجامعة   ",,    يمكن لمن يحمل شهادة معهد متوسط أن يعادل مواده في هذا المعهد او من يريد أن ينتقل من جامعته إلى هذا المعهد  
6,634a8edccdf19929c5b9b96b,2," يرجى التواصل مع منسق البرنامج الذي قمت بالتسجيل عليه من خلال العناوين
الموجودة على الموقع ضمن اتصل بنا ومن ثم الاتصال بمنسقي البرامج ",,"       انا الطالب محمد نور الدين مازن طليمات
mohamad_nour_alddin_94574
سجلت للفصل f17 تسجيل شرطي ع اشعار التخرج ونجحت بفحص
القبول بعلامة 61 ومن فترة طلبو مني اعادة تحميل اشعار التخرج بشكل اوضح
فأرسلت لهم مصدقة التخرج بدلا من اشعار التخرج وعند صدور اسماء المقبولين
لم اجد اسمي       "
7,634a8edccdf19929c5b9b96c,6,يرجى المحاولة مرة أخرى وذلك بسبب الضغط الشديد ,,"    لدي مشكلة بحاجة إلى الحل قبل انتهاء موعد التسجيل
قمت باستخدام المعلومات المذكورة في صفحة اتصل بنا
Student Affair Coordinator
Miss Nebal Al zwahra
bait_coor@svuonline.org <mailto:bait_coor@svuonline.org> 
+963-11-21499544
Student Affair Coordinator
Miss Forat Hossen
bait_coor2@svuonline.org <mailto:bait_coor2@svuonline.org> 
وبالاتصال على رقم الهاتف المذكور في صفحة اتصل بنا والخاص بالمشرف 
ولكن كان الرقم خاطئ! أو معطل
قمت بإرسال رسالة إلى المشرف الأول: الآنسة نبال الظواهرة بحسب توجيهكم
على البريد الالكتروني منذ خمسة أيام و لم يأتني الرد
فقمت بعدها بإرسال رسالة للمشرف الثاني الآنسة فرات حسين إلى البريد الآخر
​فكان الرد هو الآتي:
لا يوجد مساحة كافية لاستقبال رسالتك!
 .    "
8,634a8edccdf19929c5b9b96f,23, قد تستغرق بضعة أيام ريثما تعديل الطلب.. يرجى متابعة الحساب بشكل دوري ,,"     الي اسبوع معدلة ببروفايلي لان الصور كانت غير واضحة ولحد هلأ مااجاني
تدقيق عطلبي وراسلت منسق الشؤون mws اكتر من مرة وخايفة تنتهي مدة التعديل
قبل ما يتدقق طلبي     "
9,634a8edccdf19929c5b9b978,31,"     يرجى إرسال الأوراق المطلوبة إلى منسق برنامج MTM عن طريق
الايميل على العنوان التالي:
pmtm_coor@svuonline.org <mailto:pmtm_coor@svuonline.org>      ",,"        
حسابي micheal_94200
انا بيطلعلي ماجستير ادارة تقانة حسب معدلات و لكن اسمي غير موجود لوجود
مشكلة في صورة الهوية
عم حمل صورة الهوية و الصورة الشخصية ماعم تتحمل ( بيقلي الموقع أن تم
التحميل بنجاح بس ارجع على بروفايلي ما بلاقي شي) المشكلة بالية التحميل
و كاتبين بالموقع انو المشكلة تم حلها و لالحقيقة المشكلة لم تحل قبل انتهاء فترة اعادة تحميل الاوراق الشخصية        "
