,id,intent,answer,question,email
0,6342db6d3d103704ca39deff,53,"    يرجى إرسال ايميل إلى منسق البرنامج من خلال العناوين الموجودة على الموقع ضمن
اتصل بنا ومن ثم الاتصال بالجامعة    ",," سجلت بالمفاضله ترقيه معهد تقاني احصائي اقتصاد 
ولم يظهر اسمي بين المقبولين معدلي 74.14 
الاسم اسراء نادر التلا 
والاوراق كامله  "
1,6342db6d3d103704ca39df08,53," قد يوجد نقص بالأوراق.. يرجى التواصل مع منسق البرنامج الذي قمت بالتسجيل
عليه 
جميع العناوين موجودة على الموقع ضمن اتصل بنا ومن ثم الاتصال بالجامعة  ",,"    خريج معهد التقاني لأدارة الاعمال فاضلت و مالقيت اسمي بين المقبولين
وفي معدلات اقل مني انقبلت رقمي 97089  "
2,6342db6d3d103704ca39df0b,31,"  قد يوجد نقص بالأوراق.. يرجى التواصل عن طريق الايميل مع منسق البرنامج ال MBA لمعرفة التفاصيل
جميع العناوين موجودة على الموقع ضمن اتصل بنا ومن ثم الاتصال بالجامعة  ",,مهند مصطفى الجريجب رقمي الوطني 11010106109
3,6342db6d3d103704ca39df0d,35,"يرجى متابعة حسابك بشكل دوري.. عندما تظهر كلمة register هذا يعني أنك قمت
بالتسجيل بشكل صحيح.. ",," نظرا لعدم وجود اسمي في قوائم المقبولين في نتائج المفاضلة راجعت حسابي
ليتبين طلب رفع الهوية بشكل واضح على الجهتين , لذلك قمت برفع صورة الهوية
بشكل واضح على الجهتين من صفحة update student registration بدلا من edit
profile المعطلة , إضافة إلى رفع صورة وثيقة التخرج بدلا عن بيان الوضع
فراس غياث خرفان
97707 "
4,6342db6d3d103704ca39df0f,13,"    القبول يتم إحضار كشف علامات وتوصيف مواد وبحال وجود مواد متشابهة يتم
تعديلها بحسب المعايير التي تعتمدها الجامعة   ",,"    يمكن لمن يحمل شهادة معهد متوسط أن يعادل مواده في هذا المعهد او من يريد
ان ينتقل من جامعته إلى هذا المعهد ؟ .... و      "
5,6342db6d3d103704ca39df13,26," بإمكانك التسجيل شرطيا لعدم استكمال أوراق التخرج في المفاضلة المقبلة ولكن
يجب تحميل الإشعار أو المصدقة فور صدورها  ",,"      
  أنا طالب بالكلية التطبيقية وبتخرج الفصل الأول ..بس إشعار التخرج
مابيطلع للشهر الرابع تقريباً
فيني قدم على مفاضلة الربيع 2018 وبفترة لاحقة ارفع إشعار التخرج؟
وماهي المدة المسموحة للتأخر برفعه؟
و      "
6,6342db6d3d103704ca39df16,53," يرجى التواصل مع منسق البرنامج الذي قمت بالتسجيل عليه من خلال العناوين
الموجودة على الموقع ضمن اتصل بنا ومن ثم الاتصال بمنسقي البرامج ",,"          الطالب محمد نور الدين مازن طليمات
mohamad_nour_alddin_94574
سجلت   للفصل f17 تسجيل شرطي ع اشعار التخرج ونجحت بفحص
القبول بعلامة 61 ومن فترة طلبو مني اعادة تحميل اشعار التخرج بشكل اوضح
فأرسلت لهم مصدقة التخرج بدلا من اشعار التخرج وعند صدور اسماء المقبولين
لم اجد اسمي
           "
7,6342db6d3d103704ca39df17,21,يرجى المحاولة مرة أخرى وذلك بسبب الضغط الشديد ,,"    لدي مشكلة بحاجة إلى الحل قبل انتهاء موعد التسجيل
قمت باستخدام المعلومات المذكورة في صفحة اتصل بنا
Student Affair Coordinator
Miss Nebal Al zwahra
bait_coor@svuonline.org <mailto:bait_coor@svuonline.org> 
+963 11 21499544
Student Affair Coordinator
Miss Forat Hossen
bait_coor2@svuonline.org <mailto:bait_coor2@svuonline.org> 
وبالاتصال على رقم الهاتف المذكور في صفحة اتصل بنا والخاص بالمشرف 
ولكن كان الرقم خاطئ! أو معطل
قمت بإرسال رسالة إلى المشرف الأول: الآنسة نبال الظواهرة بحسب توجيهكم
على البريد الالكتروني منذ خمسة أيام و لم يأتني الرد
فقمت  ها بإرسال رسالة للمشرف الثاني الآنسة فرات حسين إلى البريد الآخر
​فكان الرد هو الآتي:
لا يوجد مساحة كافية لاستقبال رسالتك!
  ..    "
8,6342db6d3d103704ca39df1a,25,قد تستغرق بضعة أيام ريثما تعديل الطلب.. يرجى متابعة الحساب بشكل دوري,,"     
الي اسبوع معدلة ببروفايلي لان الصور كانت غير واضحة ولحد هلأ مااجاني
تدقيق عطلبي وراسلت منسق الشؤون mws اكتر من مرة وخايفة تنتهي مدة التعديل
قبل ما يتدقق طلبي..
     "
9,6342db6d3d103704ca39df24,12,"يرجى متابعة الموقع بشكل مستمر حيث سيتم فتح التسجيل على المواد خلال
الفترة المقبلة",,"      السادة المحترمون .. 
  .. 
يرجى من حضراتكم التأكد من امكانيتي للتسجيل على المواد في برنامج ماجستير
ادراة الاعمال (طالب جديد) حيث تم تسليم الاوراق لمركز النفاذ بتاريخ 14
كانون الثاني 2018 . و لم يتم فتح امكانية التسجيل   
الرقم الجامعي 98871
و   
طلال السقال
0993226748      "
