,word,max weight
0,حصول,1.0
522,توقيت,1.0
57,خاص,1.0
346,الاثنان,1.0
341,اسبوع,1.0
340,الزملاؤالاعزاء,1.0
31,تسجيل,1.0
333,شهر,1.0
276,دكتور,1.0
35,مواد,1.0
36,دفع,1.0
38,مفاضله,1.0
246,دوام,1.0
40,اعلام,1.0
245,اختصاص,1.0
44,قبول,1.0
120,تحميل,1.0
97,صوره,1.0
88,NOAN,1.0
427,اعزاء,1.0
62,نتيجه,1.0
684,معدلالجامه,1.0
801,مؤكد,1.0
1207,يستطيع,1.0
639,مراجعهالجامه,1.0
15,يوجد,1.0
656,توضيح,1.0
658,طريقالجامه,1.0
955,ديمهالمحترم,1.0
673,اجبار,1.0
854,استفسارات,1.0
490,اتممت,0.9728581469317721
540,تعلن,0.9594138886884165
1015,مناقشات,0.9590657736867043
67,يحق,0.9576902463670846
421,منحه,0.9566036486944604
124,صحيح,0.955567541430269
417,تمديد,0.955567541430269
530,خريف,0.9553548785270825
30,يقوم,0.9527045549847777
259,اقتصاد,0.9518176664218421
605,العناون,0.9517272454317394
165,اعفاء,0.951697560427356
855,تغير,0.9446921081490769
506,قسمالامتحت,0.9370741008319685
982,بشري,0.9367362549541386
1035,كيمياء,0.9367362549541386
283,انتهي,0.9356500721617603
393,مفتوح,0.9356500721617603
690,المقبلهبالشهر,0.9353672923475406
611,حسم,0.9353614829570054
877,ذاتي,0.9350446933797141
430,منسقالامتحت,0.9242675740129951
761,صيدله,0.92170599708502
364,ساعات,0.9192774060277455
234,انكليزي,0.9181087765001676
356,دكتورا,0.9119321045169277
1177,تنخفض,0.9098938883095836
558,اغلاق,0.9088660337042438
458,يجبعليك,0.9022724877772571
371,جديد,0.8998886970370751
74,انكليزيه,0.8940241790960788
478,محدد,0.8922183116162827
94,وثيقه,0.8904755666296857
495,فائت,0.8896573917326612
996,غيرموجوده,0.8888226444424602
632,الاشعارالي,0.8864924022768549
122,ال,0.8789734221193253
418,بنك,0.8787830876040428
533,المطلوبالي,0.8765007491472903
824,لايوجد,0.8760795100696669
1171,النفاضله,0.8737701171364176
880,اساسي,0.8726988403710947
149,عنوان,0.8725799798938216
7,الايميل,0.871892123055259
388,تابعه,0.8712899665697862
678,بقسمالامتحت,0.8704161099118912
900,شان,0.8704161099118912
504,مراسله,0.8655826467506789
607,الاعلامفي,0.8640876162624967
756,منكاليالجامه,0.863031986283075
1131,اختصار,0.861160439723473
910,بطلابالجامه,0.8607155659965336
367,اخبار,0.8590908205720228
78,رئيسيه,0.8572281030287784
217,بدا,0.8569302667619605
406,تعبئه,0.8567833065222339
556,مقرالجامه,0.8567501808958913
1036,مفتوحو,0.8549832770292363
71,حقوق,0.853839873339144
176,حاصل,0.8535306035772868
212,اجراء,0.853405950775967
154,ورقيا,0.8511768665605102
1094,جغرافيا,0.8423425008086487
508,تفويض,0.8397077743108289
331,ماده,0.8346146246859828
111,مطلوب,0.8338196596509863
979,نسب,0.83259950570158
521,قادمه,0.8298700147060496
140,الخصوصالي,0.8280898813642992
817,تمدد,0.8276992148017989
170,مشكله,0.8273278729261826
811,شؤونالامتحت,0.826043122885865
211,الايميلالي,0.8249934365236203
33,متابعه,0.8234258926709933
924,سيبدافي,0.8227292653885689
578,مواعيدالامتحت,0.8211253581961825
1179,تسال,0.819591256597385
68,طلاب,0.8181066191448657
390,وجهين,0.8180675775184654
1051,احوال,0.8178415062283614
82,موعد,0.8175457700468993
1049,الكترونيو,0.8174408915698841
1001,داو,0.815668538024616
1142,ايقاف,0.8105457797178378
668,التواصلبهذا,0.8102026329851988
13,الكتروني,0.808957221578575
359,اعاده,0.8080765866104426
464,توجد,0.8071994457493359
980,يج,0.8068873725774964
543,ويمكنكالتواصل,0.8046324948977557
59,حساب,0.8022178816718963
1138,التفاصيلتم,0.8019846324660159
342,افتراضيه,0.8019377493628382
918,مستقل,0.8016619044629505
52,علمي,0.7996011760071
491,المفاضلهو,0.7993099990631006
575,ديك,0.7986307311402076
411,ترجمه,0.7945727201442029
369,جده,0.7945727201442029
1141,تلي,0.7941635529901172
523,محاضرات,0.7929053329717448
20,فتح,0.789650845676653
902,خدمات,0.7895202318182764
993,الحاليو,0.7891569490832178
1193,orgarcontactusالكادرالاداريوالاكاديمي,0.7881687129976778
202,مقبول,0.7869285973997219
663,حسابكو,0.7846213310161103
455,لغويات,0.7829150777184062
130,مركز,0.7807552464651386
859,حسابكالجامعيو,0.7802082263397855
203,دبلوم,0.7787835728186708
577,ارسالهاالي,0.775380599034298
1197,وحده,0.7747687144024971
1172,لحملهالمجستير,0.7746781706803649
576,اجازات,0.7722012425549558
200,معالجه,0.7716550786447037
529,دفعات,0.7714725016842711
89,مقبله,0.7711520369989733
167,فتره,0.77096316477045
722,اسف,0.7699392643555057
1150,نعمالامتحت,0.7693115537307945
647,تتواصل,0.7685493357774023
586,منحالمتفوقين,0.7679990330483669
386,الموقعو,0.7676091353153934
308,عربيه,0.7673210525681056
240,اكاديمي,0.7630277487465785
532,ربيع,0.7621680318132359
567,تبدا,0.7601578032726167
11,موقعالجامه,0.7599355430018596
501,ترقيه,0.758987025435836
963,تكفي,0.7578930855614001
614,قدامي,0.7569543499037937
839,وثائق,0.7569270514979969
204,مراجعه,0.7563062182603338
782,لديوانالجامه,0.7562729622371407
583,اختبار,0.7549671323355167
312,ايميلالاجابه,0.7546195497261079
339,مجموع,0.7545957789129752
332,البرنامجالذي,0.7541724621395064
197,عالي,0.7533190280301665
292,تقويم,0.752340216936077
456,تعرف,0.7509084619204203
840,تخصصات,0.7508816696509077
465,حذف,0.7506765736094411
372,يجبالاكد,0.7496775396258388
659,تاريخ,0.7493152391654245
145,محاوله,0.7476637131000119
771,سجلت,0.7460709674568331
429,غايه,0.7453833570941983
716,معاوده,0.7449966315668872
139,دخول,0.7438498320380132
740,بهاالجامه,0.7437550907740712
479,رغبات,0.7432772320567491
437,تقومي,0.7431424897546907
401,تسديد,0.7426959368499501
754,عليالطالبهان,0.7424291298708119
960,متصفح,0.7411552152123895
981,الحضوراليالجامه,0.7403133485916312
802,احري,0.7397053505593325
695,منتهي,0.7384011305708582
221,ثانيه,0.7380018482739366
568,سائل,0.7379106726015883
1195,برنامجالمجستير,0.737683887830086
792,الجامعيو,0.7354207208370446
876,يقدم,0.7353912304849302
198,فصل,0.7344236709090687
10,امكان,0.7342701747397614
116,خصوص,0.7327295318944251
383,ارفاق,0.7315229602340397
414,الدخولالي,0.7314455901567134
419,يرج,0.730850398704468
507,اخت,0.7299837290906425
700,فنيه,0.7290350859898447
448,تحدد,0.7287330999405424
672,منتصف,0.7254976965091485
435,كلي,0.7248512232386339
712,تواجه,0.7230741019252217
469,معرقه,0.7230714836461687
850,لمتلبعه,0.7230031701964951
51,ثانويه,0.7229368799719403
485,تركيا,0.7222515131737637
192,تاجيل,0.7221582869575391
503,مباشره,0.7208000555779944
1205,الشهرالثالث,0.7207115823992886
237,عمل,0.7205309067463475
75,امتحان,0.7203876950854086
526,ملف,0.7203144267719278
93,شخصي,0.7202688065612843
986,الطريقهتم,0.7201007894304245
848,فصلي,0.7199073082619543
452,حجم,0.7190769599221923
759,بهذاالمجستير,0.7190514817656367
484,حضور,0.7185241541514561
355,بدايه,0.7181483243130643
143,كامله,0.7156046187981419
1170,برازيل,0.7154521180615783
1081,فيزياء,0.7154521180615783
1021,سياسيه,0.7154521180615783
41,تقوم,0.714517401111925
796,اسامه,0.7139582151890382
810,اجرائيه,0.7132418333768316
869,مفعل,0.7122986020499245
1085,دمج,0.709802807273604
603,بيانات,0.7085695984286862
214,تنزيل,0.7085309457313687
873,برنامجالامتحت,0.7083721248182161
951,اختصاصين,0.7077168708741871
683,مكتوبه,0.7076495437270808
1151,الطلابان,0.7071067811865475
1191,يجوز,0.7071067811865475
5,دعم,0.7071067811865475
1192,جمع,0.7071067811865475
1152,يقوموا,0.7071067811865475
6,تقني,0.7071067811865475
426,مكان,0.7068294420882061
413,هذاالمجستير,0.7068156253187511
207,التجاريفي,0.7067581176532544
762,مستويات,0.7066672912652104
253,امكانيه,0.7063927334735767
579,نعتذر,0.7061532337253809
1194,بكلوريا,0.7059167541101553
660,البرنامجاجازا,0.7057945422528072
440,وطني,0.7050758787582447
1196,تتابع,0.7039562164477559
260,علامه,0.7023112822390144
241,دكتوراه,0.70089851194281
510,استاذ,0.7001883082172131
16,مراكز,0.700084148900959
651,موضوع,0.6998140732737445
431,التسجيلو,0.6994737412343541
434,قبلالبدءبالدراسه,0.6993897340538027
531,دائرهالامتحت,0.6989025461410409
1088,نعمالتسجيل,0.6985329137014037
262,معامله,0.6983775199050364
688,الصورهالمطلوبهالي,0.6977014223070708
1028,كهرباء,0.6969905239339648
476,تفعيل,0.6965665607814362
1008,المفاضلهالمقبله,0.6960673786148166
50,معدل,0.6955408962810207
108,الكترونيا,0.6944886623304242
691,تقصد,0.6944688429691253
407,خانات,0.6943717487861636
561,ردت,0.6943458712330134
528,دفعه,0.6942104554897334
527,مرفق,0.6936476963013928
335,تحصل,0.6934814648718821
1068,الثانويهغير,0.6927204091587778
1222,هائل,0.6924879808637103
1124,فحص,0.6923116996360587
1125,لطلابالجامهو,0.6923116996360587
1119,تتخرج,0.6921720257517737
311,اختبارات,0.691878134508161
135,مصدقه,0.6915570856026945
307,اغلب,0.6910780296660113
606,التربيهلتتم,0.6898014502236496
37,تقدم,0.6895614437331329
1009,متخرجه,0.6893353988364399
816,شكل,0.6890744419693013
436,مقررات,0.6889054392073387
